track_name,artist,genre
1 Night,Mura Masa,Dance/Electronic
24K Magic,Bruno Mars,Pop
7 Years,Lukas Graham,Pop
A Guy With A Girl,Blake Shelton,Country
Adventure of a Lifetime,Coldplay,Rock
Ahora Dice,Chris Jeday,Latin
Al Filo de Tu Amor,Carlos Vives,Latin
Alguien Robo,Sebastian Yatra,Latin
All The Pretty Girls,Kaleo,Rock
Alone,Alan Walker,Dance/Electronic
Andromeda,Gorillaz,Dance/Electronic
Angela,The Lumineers,Rock
Any Ol' Barstool,Jason Aldean,Country
Bad and boujee,Migos,Hip-Hop/R&B
Bad things,Machine Gun Kelly,Hip-Hop/R&B
Bar At The End Of The World,Kenny Chesney,Country
Believer,Imagine Dragons,Rock
Better Man,Little Big Town,Country
Black,Dierks Bentley,Country
Blame,Bastille,Rock
Blem,Drake,Hip-Hop/R&B
Body like a back road,Sam Hunt,Country
Both,Gucci Mane,Hip-Hop/R&B
Bounce back,Big Sean,Hip-Hop/R&B
By Your Side,Jonas Blue,Dance/Electronic
Call On Me,Starley,Pop
Can't Stop The Feeling!,Justin Timberlake,Pop
Castle On The Hill,Ed Sheeran,Pop
Chained to the rhythm,Katy Perry,Pop
Chantaje,Shakira,Latin
Cheap Thrills,Sia,Pop
Close,Nick Jonas,Pop
Closer,The Chainsmokers,Dance/Electronic
Cold,Maroon 5,Pop
Cold Cold Cold,Cage The Elephant,Rock
Congratulations,Post Malone,Hip-Hop/R&B
Cuatro Babys,Maluma,Latin
Culpable Tu,Alta Consigna,Latin
Dangerous Woman,Ariana Grande,Pop
Deja Vu,Prince Royce,Latin
Despacito,Luis Fonsi,Latin
Die a Happy Man,Thomas Rhett,Country
Dile Que Tu Me Quieres,Ozuna,Latin
Dime Que Se Siente,Luis Coronel,Latin
Dirt on my boots,Jon Pardi,Country
Don't Let Go,Farruko,Latin
Don't Let Me Down,The Chainsmokers,Dance/Electronic
Deja Vu,J Cole,Hip-Hop/R&B
Don't Take The Money,Bleachers,Rock
Don't Wanna Know,Maroon 5,Pop
Down,Marian Hill,Dance/Electronic
Draco,Future,Hip-Hop/R&B
El Amante,Nicky Jam,Latin
Encanto,Don Omar,Latin
Escapate Conmigo,Wisin,Latin
Every Time I Hear That Song,Blake Shelton,Country
Everyday,Ariana Grande,Pop
Ex's & Oh's,Elle King,Rock
Fake love,Drake,Hip-Hop/R&B
Falling,Alesso,Dance/Electronic
Fast,Luke Bryan,Country
Feel It Still,Portugal. The Man,Rock
Fire Escape,Andrew McMahon In The Wilderness,Rock
Flatliner,Cole Swindell,Country
For Her,Chris Lane,Country
Free smoke,Drake,Hip-Hop/R&B
Galway Girl,Ed Sheeran,Pop
"God, Your Mama, And Me",Florida Georgia Line,Country
Good News,Ocean Park Standoff,Rock
Green Light,Lorde,Dance/Electronic
Get it together,Drake,Hip-Hop/R&B
Goosebumps,Travis Scott,Hip-Hop/R&B
Gyalchester,Drake,Hip-Hop/R&B
H.O.L.Y.,Florida Georgia Line,Country
Hands To Myself,Selena Gomez,Pop
Heathens,twenty one pilots,Rock
Heavy,Linkin Park,Rock
Help,Papa Roach,Rock
Hermosa Ingrata,Juanes,Latin
Heroe Favorito,Romeo Santos,Latin
Hey Baby,Dimitri Vegas ,Dance/Electronic
Hey Ma,Pitbull,Latin
Hometown Girl,Josh Turner,Country
Hot Thoughts,Spoon,Rock
How Did You Love,Shinedown,Rock
How Far I'll Go,Auli'i Cravalho,Pop
"How Far I'll Go – From ""Moana""",Alessia Cara,Pop
How Not To,Dan + Shay,Country
Hula Hoop,Daddy Yankee,Latin
Human,Rag'n'Bone Man,Rock
Humble and Kind,Tim McGraw,Country
Hurricane,Luke Combs,Country
Hymn for the Weekend,Coldplay,Rock
I feel it coming,The Weeknd,Hip-Hop/R&B
