Adele,0
Ahrix,1
Alan Walker,2
Alessia Cara,3
Alesso,4
All Time Low,5
Alt-J,6
Alta Consigna,7
Andrew McMahon In The Wilderness,8
Ariana Grande,9
Auli'i Cravalho,10
Ayo & Teo,11
Bad Bunny,12
Bastille,13
Big Sean,14
Blake Shelton,15
Bleachers,16
Blink-182,17
Brantley Gilbert,18
Breaking Benjamin,19
Brett Young,20
Bruno Mars,21
Cage The Elephant,23
Calibre 50,24
Calvin Harris,25
Carlos Vives,26
Charlie Puth,27
Childish Gambino,28
Chris Brown,29
Chris Jeday,30
Chris Lane,31
Clean Bandit,32
CNCO,22
Cold War Kids,33
Coldplay,34
Cole Swindell,35
Daddy Yankee,40
Dan + Shay,41
Darius Rucker,42
David Guetta,43
Dierks Bentley,44
Dimitri Vegas,45
DJ Khaled,36
DJ Snake,37
Don Omar,46
Drake,47
DREAMERS,38
Dustin Lynch,48
DVBBS,39
Dylan Scott,49
Ed Sheeran,50
Elle King,51
Enrique Iglesias,52
Eric Church,53
Farruko,54
Fifth Harmony,55
Florida Georgia Line,56
Flume,57
Future,58
Gorillaz,59
Gucci Mane,60
Imagine Dragons,61
J Balvin,62
J. Cole,63
James Arthur,64
James Bay,65
Jason Aldean,66
Jason Derulo,67
Jax Jones,68
Jon Pardi,69
Jonas Blue,70
Jonatan Sanchez,71
Josh Turner,72
Juanes,73
Julia Michaels,74
Justin Bieber,75
Justin Timberlake,76
Kaleo,77
Katy Perry,78
Keith Urban,79
Kelsea Ballerini,80
Kenny Chesney,81
Khalid,82
Kodak Black,83
Kygo,84
Kyle,85
Lady Antebellum,86
Lady Gaga,87
Lauren Alaina,88
Linkin Park,89
Little Big Town,90
Lorde,91
Luis Coronel,92
Luis Fonsi,93
Lukas Graham,94
Luke Bryan,95
Luke Combs,96
Machine Gun Kelly,98
Major Lazer,99
Maluma,100
Marian Hill,101
Maroon 5,102
Martin Jensen,103
Meghan Trainor,104
Michael Ray,105
Migos,106
Mike Posner,107
MISSIO,97
Mura Masa,108
NEEDTOBREATHE,109
Nick Jonas,110
Nicki Minaj,111
Nicky Jam,112
Noah Cyrus,113
Ocean Park Standoff,114
Ozuna,115
P!nk,116
Papa Roach,117
Piso 21,118
Pitbull,119
Play-N-Skillz,120
Portugal. The Man,121
Post Malone,122
Prince Royce,123
R3hab,124
Rae Sremmurd,125
RaeLynn,126
Rag'n'Bone Man,127
Rascal Flatts,128
Rihanna,129
Romeo Santos,130
Russ,131
Sam Hunt,132
San Holo,133
Sebastian Yatra,134
Selena Gomez,135
Shakira,136
Shawn Mendes,137
Shinedown,138
Sia,139
Spoon,140
Starley,141
Starset,142
The Chainsmokers,143
The Lumineers,144
The Revivalists,145
The Weeknd,146
The Xx,147
Thomas Rhett,148
Tim McGraw,149
Train,150
Travis Scott,151
Trent Harmon,152
Twenty One Pilots,153
Ulices Chaidez Y Sus Plebes,154
Wisin,155
X Ambassadors,156
Xxxtentacion,157
Zac Brown Band,158
Zayn,159
Zedd,160
